listid,faction,totalhealth,totalmainattack,totalagility,totalupgradecount,totaluselesscount,totaluselesscost,shipcount,avginitiative,yasb
Aaron#1,rebelalliance,21,8,7,7,1,3,4,3.75,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z25X119WW234WWWW87Y70XW41W106W4W167Y56XWWY54XWW&sn=Random%20Squad&obs=
Aaron#2,galacticrepublic,24,9,7,6,0,0,4,2.5,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z317X256W102WY331XW240W214WY280XWWW252W106Y330XWW&sn=Random%20Squad&obs=
Aaron T#1,firstorder,26,11,9,7,1,1,4,3.5,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z267X115WW108Y397X181WWWW240WY288X202WWW179WWWWY383X127WWW&sn=Random%20Squad&obs=
Aaron T#2,separatistalliance,23,8,4,10,1,1,3,3.6666666666666665,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z272X203W12W135WW32W316WWW223Y311XWW236Y334X75W232WWWWWW216W&sn=Random%20Squad&obs=
Aaron Thatcher#1,rebelalliance,28,12,10,3,0,0,5,3.0,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z59XW59WWY52XWWY29XW138WW0WWWY53XWY65XWWWW&sn=Random%20Squad&obs=
Aaron Thatcher#2,galacticrepublic,26,9,4,11,1,1,3,4.0,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z338X120W134W30WW213W165Y340XWW30W89W213W236Y314XWW201W165&sn=Random%20Squad&obs=
Abel#1,galacticempire,17,9,11,6,1,1,4,3.5,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z228X108Y208X135W99W102WWWWY173XW111W311WY180XWW&sn=Random%20Squad&obs=
Abel#2,rebelalliance,21,8,4,11,0,0,3,3.0,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z48X130W68W46WW105W156Y80X256W134W57WWW247Y75XW111WW13WWW&sn=Random%20Squad&obs=
Academy Kryger#1,galacticempire,20,11,14,9,0,0,5,3.2,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z394X199WW311Y164X240W135W98W106W144W11Y181XWWY223XW249Y228X&sn=Random%20Squad&obs=
Academy Kryger#2,firstorder,22,12,14,1,0,0,5,2.8,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z290XWY382XWWWY381XWWWY259XWWW113WY269XW&sn=Random%20Squad&obs=
Adam North Wales#1,resistance,31,8,3,8,0,0,3,3.0,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z346X177W12W234WW53WW105Y250XWW231WWWWW109Y246XW101WWWWWW&sn=Random%20Squad&obs=
Adam North Wales#2,galacticempire,23,10,9,4,0,0,4,3.5,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z166XW232WWWW162Y182XWY173X72W111WWY187XWWWWW&sn=Random%20Squad&obs=
AdamN#1,scumandvillainy,25,11,11,3,0,0,5,3.6,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z134XWW135Y85XW138WWWWW91WY95XWWY398XWWWY148XWWWW&sn=Random%20Squad&obs=
AdamN#2,galacticrepublic,23,8,5,7,0,0,3,3.6666666666666665,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z280X136WW225WW165Y340X126W136WWWW110Y278XW2WW&sn=Random%20Squad&obs=
Adjudicator#1,rebelalliance,27,9,7,7,0,0,4,3.0,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z20XW311WWWW316WWY50X126WWY74XWWWW136W164W313Y49XWW109WW&sn=Random%20Squad&obs=
Adjudicator#2,firstorder,14,9,9,5,0,0,3,5.0,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z284X256W178WWY381X319W318WWY382X117WWW&sn=Random%20Squad&obs=
AgentStack#1,rebelalliance,19,11,10,5,0,0,4,3.5,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z22XWW136W4WY1XWWW142Y14XWY65X118WWW138W&sn=Random%20Squad&obs=
AgentStack#2,scumandvillainy,30,9,8,4,1,7,4,2.5,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z88XW234W86W1W235WWY82XWWWWWWWY143XWWWWY116XWWWWWWW&sn=Random%20Squad&obs=
Ajay2017#1,scumandvillainy,27,9,5,10,0,0,3,3.6666666666666665,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z149XWW135W249WY154XW11W100W62WWWW106WY129XW135WW9W93W165&sn=Random%20Squad&obs=
Ajay2017#2,rebelalliance,23,10,7,10,0,0,4,3.25,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z73X119W112W11WW234W249W313Y67XWW105W138W167Y15XY26XWWW5WWW&sn=Random%20Squad&obs=
AJP2#1,scumandvillainy,26,12,13,4,0,0,5,2.4,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z159X98WW165Y121XW98WWW249WY137XWY84XWWWWWWWY304X&sn=Random%20Squad&obs=
AJP2#2,separatistalliance,24,10,8,5,0,0,4,3.5,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z336X232WW32WWWW216WY357XWY328X114WW249WY327XWWWW&sn=Random%20Squad&obs=
AKarlsson(Swe)#1,rebelalliance,26,9,4,10,1,1,3,2.6666666666666665,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z58X119W57W44W236Y38XW111W314W46W165W140Y80XW136WWWW&sn=Random%20Squad&obs=
